1961	3
777	1	0
1880	2	0
1881	0	1274
777	0	1275
777	1	0
1884	2	0
1885	0	1276
777	0	1277
777	1	0
1888	2	0
1889	0	1278
777	0	1279
777	1	0
1892	2	0
1893	0	1280
777	0	1281
777	1	0
1896	2	0
1897	0	1282
777	0	1283
777	1	0
1900	2	0
1901	0	1284
777	0	1285
777	1	0
1904	2	0
1905	0	1286
777	0	1287
777	1	0
1908	2	0
1909	0	1288
777	0	1289
777	1	0
1912	2	0
1913	0	1290
777	0	1291
777	1	0
1916	2	0
1917	0	1292
777	0	1293
777	1	0
1920	2	0
1921	0	1294
777	0	1295
777	1	0
1924	2	0
1925	0	1296
777	0	1297
777	1	0
1928	2	0
1929	0	1298
777	0	1299
777	1	0
1932	2	0
1933	0	1300
777	0	1301
777	1	0
1936	2	0
1937	0	1302
777	0	1303
777	1	0
1940	2	0
1941	0	1304
777	0	1305
777	1	0
1944	2	0
1945	0	1306
777	0	1307
777	1	0
1948	2	0
1949	0	1308
777	0	1309
777	1	0
1952	2	0
1953	0	1310
777	0	1311
777	1	0
1956	2	0
1957	0	1312
777	0	1313
0	0	1314
0	0	1315
